condition,phase,n_runs,n_total,n_parsed,bail_rate,bail_rate_macro,sem,delta_vs_baseline,rate_bail_first,rate_continue_first
baseline,prompt,1,1023,997,0.1976,0.291,0.0126,0.0,0.1976,
enraged@-0.1,prompt,1,1023,997,0.2136,0.3115,0.013,0.016,0.2136,
enraged@-0.05,prompt,1,1023,905,0.0619,0.1208,0.008,-0.1357,0.0619,
enraged@-0.02,prompt,1,1023,986,0.1521,0.2369,0.0114,-0.0455,0.1521,
enraged@0.02,prompt,1,1023,940,0.1979,0.2838,0.013,0.0003,0.1979,
enraged@0.05,prompt,1,1023,779,0.0706,0.0887,0.0092,-0.127,0.0706,
defiant@-0.05#042732,prompt,1,256,239,0.2092,0.2499,0.0263,0.0116,0.2092,
defiant@-0.05#043346,prompt,1,1023,909,0.2332,0.306,0.014,0.0356,0.2332,
defiant@0.05#042718,prompt,1,512,472,0.0148,0.0149,0.0056,-0.1828,0.0148,
defiant@0.05#043337,prompt,1,1023,924,0.0152,0.0195,0.004,-0.1824,0.0152,
content@-0.05,prompt,1,1023,1009,0.002,0.0042,0.0014,-0.1956,0.002,
content@-0.01,prompt,1,1023,995,0.1568,0.238,0.0115,-0.0408,0.1568,
content@0.01,prompt,1,1023,952,0.2479,0.3516,0.014,0.0503,0.2479,
content@0.05,prompt,1,1023,674,0.3338,0.4105,0.0182,0.1362,0.3338,
