emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,sem_shift_band_-3
upset,Fear/Anxiety,-0.006249,0.000982,0.009539,0.020341,0.021871,-0.00723,0.008558,0.01936,0.020889,0.00124
mad,Anger/Hostility,-0.019739,-0.009683,-0.000945,0.011904,0.010902,-0.010056,0.008737,0.021586,0.020585,0.001586
offended,Anger/Hostility,-0.033067,-0.021463,-0.012232,-0.000839,-0.001139,-0.011605,0.009231,0.020624,0.020324,0.001601
angry,Anger/Hostility,-0.022485,-0.0125,-0.004063,0.008106,0.007397,-0.009986,0.008437,0.020605,0.019897,0.001498
hateful,Anger/Hostility,0.010338,0.021781,0.030391,0.041559,0.041369,-0.011443,0.00861,0.019778,0.019587,0.001588
furious,Anger/Hostility,-0.013268,-0.004037,0.00397,0.015459,0.015112,-0.009231,0.008007,0.019496,0.019149,0.001367
grumpy,Anger/Hostility,-0.058196,-0.051485,-0.04046,-0.029908,-0.032507,-0.006711,0.011025,0.021577,0.018977,0.001529
hostile,Anger/Hostility,-0.012553,-0.001499,0.007931,0.020024,0.017342,-0.011054,0.00943,0.021523,0.018841,0.001738
defiant,Defiance/Spite,0.003112,0.011494,0.019727,0.028793,0.030256,-0.008382,0.008232,0.017298,0.018762,0.001274
outraged,Anger/Hostility,-0.016628,-0.006719,0.000242,0.011509,0.011626,-0.009909,0.006961,0.018228,0.018345,0.001561
unhappy,Sadness/Despair,0.00446,0.009022,0.016953,0.024883,0.026944,-0.004562,0.007931,0.015861,0.017922,0.001136
resentful,Shame/Guilt,0.006706,0.017851,0.027195,0.036313,0.03567,-0.011145,0.009344,0.018462,0.01782,0.001706
bitter,Shame/Guilt,0.028499,0.038884,0.047884,0.05625,0.056545,-0.010384,0.009,0.017367,0.017661,0.001587
insulted,Anger/Hostility,-0.048067,-0.034972,-0.024806,-0.014467,-0.017312,-0.013095,0.010165,0.020505,0.01766,0.001729
disgusted,Anger/Hostility,-0.019174,-0.012304,-0.005641,0.002843,0.004631,-0.00687,0.006663,0.015147,0.016935,0.001245
enraged,Anger/Hostility,-0.005504,0.003503,0.010385,0.021319,0.020268,-0.009007,0.006881,0.017816,0.016765,0.001448
sullen,Sadness/Despair,-0.002371,0.003651,0.013971,0.022398,0.019941,-0.006022,0.01032,0.018747,0.01629,0.001457
obstinate,Defiance/Spite,0.013302,0.022434,0.030903,0.038874,0.037866,-0.009132,0.008469,0.01644,0.015433,0.001433
irate,Anger/Hostility,-0.014119,-0.0045,0.002047,0.01187,0.010792,-0.009619,0.006547,0.01637,0.015292,0.001501
contemptuous,Anger/Hostility,-0.00529,0.007211,0.017505,0.024871,0.022465,-0.012501,0.010293,0.01766,0.015254,0.001881
miserable,Sadness/Despair,0.025379,0.029305,0.03618,0.042858,0.044421,-0.003926,0.006875,0.013552,0.015116,0.001069
indignant,Anger/Hostility,-0.027259,-0.016545,-0.009016,0.000234,-0.001488,-0.010713,0.007529,0.016779,0.015057,0.001604
