emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
angry,Anger/Hostility,-0.020779,-0.014668,-0.007512,0.005132,0.005808,-7.9e-05,-0.006111,0.007156,0.0198,0.020477,0.014589,0.002118
mad,Anger/Hostility,-0.00229,0.004062,0.011113,0.023232,0.023667,0.018215,-0.006353,0.007051,0.019169,0.019605,0.014153,0.00217
furious,Anger/Hostility,-0.009207,-0.001598,0.005986,0.017136,0.017914,0.012559,-0.007609,0.007584,0.018734,0.019512,0.014158,0.001932
offended,Anger/Hostility,-0.017033,-0.012579,-0.005932,0.004743,0.006773,0.000494,-0.004454,0.006647,0.017323,0.019352,0.013073,0.001962
hostile,Anger/Hostility,0.007587,0.01414,0.020717,0.03072,0.032887,0.026766,-0.006553,0.006577,0.016579,0.018747,0.012626,0.002085
insulted,Anger/Hostility,-0.028287,-0.025284,-0.018424,-0.008878,-0.008591,-0.012835,-0.003002,0.006861,0.016407,0.016693,0.012449,0.001975
hateful,Anger/Hostility,0.015103,0.021294,0.028192,0.037209,0.03767,0.033491,-0.00619,0.006898,0.015916,0.016376,0.012197,0.001773
grumpy,Anger/Hostility,-0.01873,-0.018931,-0.015163,-0.008812,-0.007816,-0.011361,0.000201,0.003768,0.010119,0.011115,0.00757,0.002054
upset,Fear/Anxiety,-0.000305,0.007141,0.010735,0.017349,0.017283,0.01458,-0.007445,0.003594,0.010209,0.010142,0.007439,0.001857
sullen,Sadness/Despair,-0.00325,-0.001553,0.000524,0.003025,0.001495,0.001823,-0.001698,0.002077,0.004578,0.003048,0.003375,0.001639
amused,Positive/Joy,-0.00495,-0.001604,0.002214,-0.001644,-0.001718,-4e-05,-0.003346,0.003818,-4e-05,-0.000114,0.001564,0.001624
awestruck,Surprise/Confusion,0.020777,0.023735,0.021707,0.015719,0.017159,0.018369,-0.002958,-0.002028,-0.008015,-0.006576,-0.005366,0.001559
ecstatic,Positive/Joy,0.006806,0.003009,1.4e-05,-0.004948,-0.004403,-0.00282,0.003797,-0.002996,-0.007957,-0.007412,-0.005829,0.001791
euphoric,Positive/Joy,0.018932,0.017962,0.015894,0.011261,0.010382,0.013105,0.00097,-0.002068,-0.006701,-0.00758,-0.004856,0.001689
jubilant,Positive/Joy,-0.010757,-0.017477,-0.020509,-0.025601,-0.025298,-0.023443,0.00672,-0.003032,-0.008124,-0.007821,-0.005966,0.001725
delighted,Positive/Joy,0.010809,0.007291,0.00506,-0.001318,-0.000899,0.001389,0.003519,-0.002231,-0.008609,-0.00819,-0.005902,0.001919
thrilled,Positive/Joy,0.014447,0.011205,0.008934,0.003015,0.00289,0.005474,0.003242,-0.002271,-0.00819,-0.008314,-0.005731,0.001828
elated,Positive/Joy,-0.014506,-0.019214,-0.021972,-0.027295,-0.027911,-0.025135,0.004708,-0.002757,-0.008081,-0.008697,-0.005921,0.001667
amazed,Surprise/Confusion,0.002516,0.004398,-0.000184,-0.007087,-0.00508,-0.003997,-0.001883,-0.004582,-0.011485,-0.009478,-0.008395,0.001709
excited,Positive/Joy,-0.017855,-0.026235,-0.031328,-0.037501,-0.036918,-0.034863,0.00838,-0.005094,-0.011267,-0.010684,-0.008628,0.00191
