emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
enraged,Anger/Hostility,-0.06056,-0.057779,-0.046109,-0.038971,-0.038136,-0.040586,-0.002782,0.01167,0.018808,0.019643,0.017192,0.001419
spiteful,Defiance/Spite,-0.052883,-0.049997,-0.039661,-0.031384,-0.03213,-0.033523,-0.002886,0.010336,0.018613,0.017867,0.016474,0.001382
outraged,Anger/Hostility,0.059725,0.06286,0.068892,0.073614,0.076916,0.07297,-0.003136,0.006032,0.010753,0.014055,0.01011,0.001035
angry,Anger/Hostility,-0.028194,-0.026248,-0.019299,-0.01317,-0.012665,-0.01459,-0.001945,0.006949,0.013079,0.013583,0.011659,0.000993
insulted,Anger/Hostility,-0.079075,-0.076365,-0.067645,-0.064334,-0.063301,-0.064983,-0.002709,0.008721,0.012032,0.013064,0.011382,0.001141
vindictive,Defiance/Spite,0.054516,0.05965,0.067571,0.069786,0.07204,0.069593,-0.005134,0.007921,0.010136,0.01239,0.009943,0.001085
mortified,Embarrassment,-0.08316,-0.082434,-0.074622,-0.071923,-0.070463,-0.072357,-0.000725,0.007812,0.010511,0.011971,0.010077,0.000926
indignant,Anger/Hostility,-0.159998,-0.158933,-0.150892,-0.148016,-0.147575,-0.14865,-0.001065,0.008041,0.010917,0.011358,0.010283,0.001387
irate,Anger/Hostility,0.034198,0.032932,0.042906,0.045313,0.043957,0.044515,0.001266,0.009974,0.012381,0.011025,0.011583,0.00154
hostile,Anger/Hostility,0.043071,0.05067,0.055329,0.060087,0.061599,0.059158,-0.007598,0.00466,0.009417,0.010929,0.008488,0.001173
scared,Fear/Anxiety,-0.004688,0.001422,0.006141,0.008084,0.012257,0.008255,-0.00611,0.004719,0.006662,0.010835,0.006832,0.001123
grumpy,Anger/Hostility,-0.109157,-0.108927,-0.102552,-0.099319,-0.098507,-0.099984,-0.00023,0.006375,0.009608,0.01042,0.008943,0.00097
defiant,Defiance/Spite,-0.022914,-0.020937,-0.013916,-0.008904,-0.010622,-0.010395,-0.001976,0.007022,0.012033,0.010315,0.010543,0.001165
resentful,Shame/Guilt,0.077791,0.076401,0.082668,0.085412,0.086286,0.084876,0.00139,0.006268,0.009011,0.009886,0.008476,0.00148
hateful,Anger/Hostility,0.11659,0.122422,0.127607,0.132045,0.132289,0.130998,-0.005833,0.005185,0.009623,0.009867,0.008576,0.00114
upset,Fear/Anxiety,0.015067,0.017588,0.020057,0.022555,0.027378,0.02269,-0.002521,0.002468,0.004967,0.00979,0.005102,0.001072
vengeful,Defiance/Spite,0.104021,0.105135,0.112478,0.115073,0.11481,0.114398,-0.001113,0.007344,0.009939,0.009675,0.009264,0.000803
obstinate,Defiance/Spite,-0.013215,-0.013221,-0.007302,-0.005459,-0.003605,-0.005623,5e-06,0.005919,0.007761,0.009616,0.007598,0.001247
disgusted,Anger/Hostility,-0.005022,-0.000407,0.003958,0.003208,0.008829,0.004261,-0.004615,0.004365,0.003615,0.009236,0.004668,0.001313
