emotion,n_pairs,mean_delta,std_delta,sem,frac_rude_higher
brooding,1630,0.01175303631344313,0.014264117891902687,0.0003533060850228464,0.8687116564417178
hostile,1630,0.011218860531168664,0.020982023677990885,0.0005197010216619007,0.7552147239263803
confident,1630,0.00885350013543149,0.013124008903654269,0.00032506687344383467,0.8226993865030675
nervous,1630,0.004644107295520192,0.010441095355689685,0.00025861413593356703,0.7312883435582822
frustrated,1630,0.004219044387580518,0.013984648517449239,0.00034638394435349717,0.6435582822085889
angry,1630,0.0038604799298101043,0.019190887244353073,0.0004753365957712825,0.6251533742331289
loving,1630,0.0033393344776904885,0.013728183793705788,0.00034003160289229113,0.6693251533742332
afraid,1630,0.00277252566595019,0.010926345960460134,0.0002706332451925937,0.661963190184049
hopeful,1630,0.002454124713042305,0.01370596465427441,0.00033948125991107295,0.5828220858895705
guilty,1630,0.0001358323946218092,0.015036141010804036,0.0003724282254701713,0.4754601226993865
desperate,1630,-0.0014960968881228402,0.011789958497216122,0.00029202395204528417,0.4723926380368098
sad,1630,-0.0024516126043820307,0.015805564377041413,0.0003914859729811298,0.44969325153374234
proud,1630,-0.00268535443561643,0.01057601276771579,0.0002619558878039309,0.38773006134969323
gloomy,1630,-0.0033462815233999063,0.011125189501672655,0.00027555837506113994,0.39263803680981596
reflective,1630,-0.003543336557344379,0.014251178056908252,0.00035298557992905996,0.36809815950920244
calm,1630,-0.00525121703926771,0.012575110561110122,0.00031147128162740067,0.2625766871165644
surprised,1630,-0.006909456681117324,0.010787418518948585,0.0002671921694222827,0.21226993865030674
happy,1630,-0.007203503438854373,0.015650584536575193,0.0003876472974242159,0.2926380368098159
curious,1630,-0.009282699710992309,0.015838069208160895,0.0003922910809250057,0.2233128834355828
enthusiastic,1630,-0.011247161473790354,0.016670450172290078,0.0004129082170081958,0.20429447852760735
HOSTILITY_CLUSTER,1630,0.006432794949519763,0.01604479796411571,0.0003974115186542467,0.7085889570552147
